Name,Country,Address,Website,Email,Profile_URL
CSANYI WINERY CLOSED COMPANY LIMITED BY SHARES,Hungary,"Ady Fasor 2., Villany 7773",,,https://www.europages.co.uk/CSANYI-WINERY-CLOSED-COMPANY-LIMITED-BY-SHARES/HUN055183-00101.html
CELLER DEVINSSI,Spain,"C.Masets1, Gratallops 43737",http://www.devinssi.com/,info@devinssi.com,https://www.europages.co.uk/CELLER-DEVINSSI/ESP194169-00101.html
JOSEF BRIGL S.P.A.,Italy,"1 STRADA MADONNA DEL RIPOSO, Appiano Sulla Strada Del Vino 39057",http://www.brigl.com/,brigl@brigl.com,https://www.europages.co.uk/JOSEF-BRIGL-SPA/SEAC000521280-001.html
WATERWORLD-ITALY,Italy,"Zona Ind.le, snc, Basciano 64030",https://www.waterworld-italy.com/,info@waterworld-italy.com,https://www.europages.co.uk/WATERWORLDITALY/00000005442461-779979001.html
SCHLOSS THORN,Germany,"Schloss Thron 1, Schloss Thorn-Palzem 54439",http://www.schloss-thorn.de/,,https://www.europages.co.uk/SCHLOSS-THORN/00000005317718-001.html
BODEGAS CARRILLO GARCIA SL,Spain,"Carretera Roa-burgos, S/N, Olmedillo De Roa 09311",http://bodegascarrillo.com/,info@bodegascarrillo.com,https://www.europages.co.uk/BODEGAS-CARRILLO-GARCIA-SL/00000004567065-400478001.html
WEINKELLEREI SCHWANBERG,Austria,"Wienerstrasse 171, Gumpoldskirchen 2352",http://www.aignerweine.at/,office@aignerweine.at,https://www.europages.co.uk/WEINKELLEREI-SCHWANBERG/00000003978891-245132001.html
DE MONNIK DRANKEN,Netherlands,"Deventerstraat 6, Oldenzaal 7575 EM",http://www.monnik-dranken.nl/,info@monnik-dranken.nl,https://www.europages.co.uk/DE-MONNIK-DRANKEN/NLD086512-00101.html
DI GIOVANNA S.R.L.,Italy,"Contrada San Giacomo, Sambuca Di Sicilia 92017",https://www.di-giovanna.com/,,https://www.europages.co.uk/DI-GIOVANNA-SRL/00000005332332-629905001.html
D'AMAR SRL,Italy,"VIALE GIUSEPPE TOVINI 1, Orzivecchi 25030",http://www.d-amar.it/,info@d-amar.it,https://www.europages.co.uk/DAMAR-SRL/00000005301786-609626001.html
VINI NARDO',Italy,"VIA GIUSEPPE MAZZINI 33, Canosa Di Puglia 76012",,,https://www.europages.co.uk/VINI-NARDO/00000005379794-694138001.html
LA PLEIÀDE SRL,Italy,"Via Gabriele Rosa 9, Brescia 25121",http://www.la-pleiade.it/,info@la-pleiade.it,https://www.europages.co.uk/LA-PLEIADE-SRL/00000005298991-607833001.html
O.M.A.F. SRL,Italy,"Via Cazzola 22, Schio 36015",http://www.omaf.it/,,https://www.europages.co.uk/OMAF-SRL/SEAC000236953-001.html
WINE SPIRIT BARCELONA,Spain,"Paseo Ferrocarril, nº 335, 4º-1, Castelldefels 08860",,,https://www.europages.co.uk/WINE-SPIRIT-BARCELONA/00000004732740-532839001.html
TENUTA CARBOGNANO,Italy,"Via Carbognano, 3, Gemmano 47855",http://www.tenutacarbognano.com/,,https://www.europages.co.uk/TENUTA-CARBOGNANO/00000003947579-224443001.html
TENUTA CAVALIER,Italy,"via francesco de Sanctis, Sant'angelo All'esca 83040",http://www.tenutapepe.it/,"visite@tenutapepe.it, visite@tenutacavalierpepe.it",https://www.europages.co.uk/TENUTA-CAVALIER/00000004713166-510876001.html
FORATIA EUROPE OU,Finland,"Keksikatu 5, Turku 20460",https://www.foratia.com/,,https://www.europages.co.uk/FORATIA-EUROPE-OU/00000005473386-001.html
BT.RM WINERY SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,Italy,"7 VIA RIPA ANDREA, Roma 00198",,,https://www.europages.co.uk/BTRM-WINERY-SOCIETA-A-RESPONSABILITA-LIMITATA-SEMPLIFICATA/SEAC011377498-001.html
INDUSTRIAS CÉSPEDES E HIJOS S.L,Spain,"Poligono Industrial Pabellones 1 Y 20, Salvaterra De Miño 36450",http://www.icespedes.com/,"icespedes@icespedes.com, icespedes@icespedes.com.puede",https://www.europages.co.uk/INDUSTRIAS-CESPEDES-E-HIJOS-SL/ESP197063-35657001.html
PRVNÍ VINA?SKÁ SPOL. S R. O. - VÝROBA VÍNA A OCHUTNÁVKY,Czechia,"Herbenova 524/17, Hustope?e 693 01",http://www.prvnivinarskahustopece.cz/,,https://www.europages.co.uk/PRVNI-VINASKA-SPOL-S-R-O-VYROBA-VINA-A-OCHUTNAVKY/00000005336012-634254001.html
INDUSTRIEBEDARF CASTAN GMBH,Germany,"Steinbeisstrasse 20-22, Freiberg 71691",http://www.industriebedarf-castan.de/,info@castan.de,https://www.europages.co.uk/INDUSTRIEBEDARF-CASTAN-GMBH/DEU056533-001.html
AYIA MAVRI WINERY LTD,Cyprus,"Kilani Village,, Limassol null",https://ayiamavriwinery.com/,"info@ayiamavriwines.com, ayiamavri@cytanet.com.cy",https://www.europages.co.uk/AYIA-MAVRI-WINERY-LTD/CYP001311-00101.html
Bodegas Vega Norte,Spain,"Camino De Bellido, 3,Tijarafe, Santa Cruz De Tenerife, Tijarafe 38780",https://veganorte.es/,,https://www.europages.co.uk/en/company/bodegas-vega-norte-22311492
ARSILAC,France,"ZAC des Escampades II - 806 Avenue Cugnot, Monteux 84170",https://www.arsilac.com/,info@arsilac.com,https://www.europages.co.uk/ARSILAC/FRA596043-117137001.html
COLLE DI SIDURI WINE,Italy,"strada provinciale 45 - località Cavarena 45, Guardia Sanframondi 82034",http://colledisiduri.it/,,https://www.europages.co.uk/COLLE-DI-SIDURI-WINE/SEAC007311816-001.html
FRANCE FIL INTERNATIONAL,France,"18 rue des Mariniers, Saint Clement Des Levees 49350",https://www.francefil.com/,,https://www.europages.co.uk/FRANCE-FIL-INTERNATIONAL/FRA802674-000018307001.html
