Name,Country,Address,Website,Email,Profile_URL
Nature Cosmétique GmbH,Germany,"Steinweg 7, Werlaburgdorf 38315",https://nc-manufaktur.de/,info@nc-manufaktur.de,https://www.wlw.de/en/company/nature-cosmetique-gmbh-20001670
AGRANA Stärke GmbH,Austria,"Friedrich-Wilhelm-Raiffeisen-Platz 1, Wien 1020",http://www.agrana.at/,,https://www.wlw.de/en/company/agrana-staerke-gmbh-758229
Chemische Werke Hommel GmbH & Co. KG,Germany,"Im Wirrigen 25, Waltrop 45731",http://www.hommel-pharma.com/?utm_source=wlw,info@hommel-pharma.com,https://www.wlw.de/en/company/chemische-werke-hommel-gmbh-co-kg-653672
C.E. Roeper GmbH,Germany,"Hans-Duncker-Strasse 13, Hamburg 21035",http://www.roeper.de/,office@roeper.de,https://www.wlw.de/en/company/ce-roeper-gmbh-320573
HOYER GMBH Internationale Fachspedition,Germany,"Wendenstrasse 414-424, Hamburg 20537",http://www.hoyer-group.com/,"presse@hoyer-group.com, tobias.geissinger@hoyer-group.com, thorben.lohse@hoyer-group.com, anna.krueger@hoyer-group.com, marcel.zijl@hoyer-group.com, geoffrey.hogenbirk@hoyer-group.com, florine.schrader@hoyer-group.com, michel.kramer@hoyer-group.com, carina.meyer@hoyer-group.com, brian.woudsma@hoyer-group.com, jennifer.hein@hoyer-group.com, corinna.baumgarten@hoyer-group.com, dieter.platz@hoyer-group.com, thies.grage@hoyer-group.com, angela.rohlf-kipperer@hoyer-group.com",https://www.wlw.de/en/company/hoyer-gmbh-internationale-fachspedition-1557339
Becker Manicure GmbH & Co. KG,Germany,"Friedrich-Wilhelm-Strasse 18-22, Solingen 42655",http://www.becker-solingen.de/,info@becker-solingen.de,https://www.wlw.de/en/company/becker-manicure-gmbh-co-kg-1841951
Edelwäsche Fischer GmbH & Co. KG,Germany,"Gewerbepark 1, Crinitzberg 08147",http://www.edelwaesche-fischer.de/,info@edelwaesche-fischer.de,https://www.wlw.de/en/company/edelwaesche-fischer-gmbh-co-kg-1557787
NHU EUROPE GmbH,Germany,"Daimlerstrasse 14-16, Bardowick 21357",http://www.nhu-eu.com/,info@nhu-eu.com,https://www.wlw.de/en/company/nhu-europe-gmbh-1801861
Carl Eichhorn KG,Germany,"Wymarstraße 13, Jülich 52428",http://www.carl-eichhorn.de/,info@carl-eichhorn.de,https://www.wlw.de/en/company/carl-eichhorn-kg-1371753
DekorTech GmbH,Germany,"Elsemuehlenweg 83, Bünde 32257",https://www.digitran.de/,info@digitran.de,https://www.wlw.de/en/company/dekortech-gmbh-20027838
Institut Dr. Rilling Healthcare GmbH,Germany,"Lilienthalweg 13, Pliezhausen 72124",https://www.rilling-healthcare.de/,info@rilling-healthcare.de,https://www.wlw.de/en/company/institut-dr-rilling-healthcare-gmbh-1842073
ICP-Nailcare GmbH,Germany,"Lagesche Strasse 15, Lemgo 32657",http://www.icp-nailcare.de/brand-labeling,,https://www.wlw.de/en/company/icp-nailcare-gmbh-1263920
Peiler & Klein Kunststofftechnik GmbH,Germany,"Am Aischpark 13, Höchstadt 91315",http://www.peiler-klein.com/,"info@peiler-klein.de, bewerbung@peiler-klein.de",https://www.wlw.de/en/company/peiler-klein-kunststofftechnik-gmbh-594265
PAPACKS SALES GmbH,Germany,"Von-Hünefeld-Str. 1, Köln 50829",https://www.papacks.com/?utm_source=wlw,,https://www.wlw.de/en/company/papacks-sales-gmbh-1921121
Vita-Trade GmbH,Germany,"Bachhauserwies 14a , Berg 82335",https://www.vita-trade.de/,info@vita-trade.de,https://www.wlw.de/en/company/vita-trade-gmbh-22263159
Wiedemann Pharma GmbH Biologisch-pharmazeutische Präparate,Germany,"Pilotyweg 14, Ambach 82541",http://wiedemann-pharma.de/,info@wiedemann-pharma.de,https://www.wlw.de/en/company/wiedemann-pharma-gmbh-biologisch-pharmazeutische-praeparate-1904987
eskage-eskamint Schierholz GmbH,Germany,"Rögen 32, Bad Oldesloe 23843",http://www.eskage.de/,,https://www.wlw.de/en/company/eskage-eskamint-schierholz-gmbh-475443
Gid-Sab GmbH,Germany,"Kolpingstraße 8, Meerbusch 40667",https://www.gid-sab.com/,,https://www.wlw.de/en/company/gid-sab-gmbh-20038719
Brandpackaging GmbH,Germany,"St.-Emmeram-Weg 5, Thalmassing 93107",http://www.brandpackaging.de/,info@brandpackaging.de,https://www.wlw.de/en/company/brandpackaging-gmbh-1739865
Eurofins Consumer Product Testing GmbH,Germany,"Am Neuländer Gewerbepark 4, Hamburg 21079",http://www.eurofins.de/,"info-munich@eurofins.com, info-umwelt@eurofins.de, service@eurofins.de, office.efap@cpt.eurofinseu.com, siegen@gelamed.de, iserlohn@gelamed.de, forensik@eurofins.com, mdsales@bpt.eurofinseu.com, easinfo@eurofins.com, kits@eurofins.com, reichenwalde@eurofins.de, de_paymentsssc@eurofins.com, gelsenkirchen@gelamed.de, careproducts-hamburg@cpt.eurofinseu.com, agraranalytik@eurofins.de",https://www.wlw.de/en/company/eurofins-consumer-product-testing-gmbh-1451467
Dreiz Cosmetics GmbH & Co. KG,Germany,"Albert-Einstein-Strasse 3, Schwäbisch Gmünd 73529",http://www.dreiz.de/,info@dreiz.de,https://www.wlw.de/en/company/dreiz-cosmetics-gmbh-co-kg-295052
KHK GmbH,Germany,"Innungstrasse 29, Hürth 50354",http://www.lipcare.de/,sales@lipcare.de,https://www.wlw.de/en/company/khk-gmbh-646891
Hädener Rohstoffe GmbH,Switzerland,"Zwinglistraße 6, St. Gallen 9000",http://www.haedener.ch/,info@haedener.ch,https://www.wlw.de/en/company/haedener-rohstoffe-gmbh-1156514
Aplantis GmbH,Germany,"Am Achalaich 18, Weilheim 82362",http://www.aplantis-ingredients.de/,info@aplantis-ingredients.de,https://www.wlw.de/en/company/aplantis-gmbh-1841575
Nutriswiss AG,Switzerland,"Industriering 30, Lyss 3250",http://www.nutriswiss.ch/,info@nutriswiss.ch,https://www.wlw.de/en/company/nutriswiss-ag-106975
vis vitalis gmbh,Austria,"Moosham 29, Unternberg 5585",http://www.vis-vitalis.com/?utm_source=wlw,produktion@vis-vitalis.com,https://www.wlw.de/en/company/vis-vitalis-gmbh-1622235
CMG - Cosmetic Marketing GmbH,Germany,"Robert-Bosch-Strasse 26, Bensheim 64625",http://www.ladyesther.de/cmg,,https://www.wlw.de/en/company/cmg-cosmetic-marketing-gmbh-1614109
Caire-exotic products UG,Germany,"Hebbelstr. 18 B, Hannover 30177",https://www.caire-exotic-products.de/,,https://www.wlw.de/en/company/caire-exotic-products-ug-20027642
Rettner Abfüll- und Verpackungs-Service GmbH,Germany,"Nikolaus-Fey-Strasse 13, Gerolzhofen 97447",http://www.rettner.de/,info@rettner.de,https://www.wlw.de/en/company/rettner-abfuell-und-verpackungs-service-gmbh-495696
Lebenshilfe Werkstätten Wuppertal gemeinnützige GmbH,Germany,"Heidestrasse 72, Wuppertal 42349",http://www.lebenshilfe-wuppertal.de/,info@lebenshilfe-wuppertal.de,https://www.wlw.de/en/company/lebenshilfe-werkstaetten-wuppertal-gemeinnuetzige-gmbh-1566329
ApoFit Arzneimittelvertrieb GmbH,Germany,"Jäckstrasse 29, Bamberg 96052",http://www.apofit-gmbh.de/,,https://www.wlw.de/en/company/apofit-arzneimittelvertrieb-gmbh-1478790
Lindner Sprühsysteme GmbH,Germany,"Pröllstrasse 14, Augsburg 86157",http://www.lindner-kunststoffprodukte.de/?%2522utm_source=wlw%2522,sales@lindner-spruehsysteme.de,https://www.wlw.de/en/company/lindner-spruehsysteme-gmbh-451350
Herzig Interlook AG,Switzerland,"Graben 8, Aarau 5000",https://www.interlook.ch/,,https://www.wlw.de/en/company/herzig-interlook-ag-1871909
